Ticker,Calls or Puts,Today Date,Time of Retrieval,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Days left to Expiration,Underlying Price
AAPL,Calls,2019-01-27,14:44:53,AAPL190201C00100000,100.0,USD,57.7,2.4900017,4.5100555,6,14,57.35,58.1,REGULAR,2019-02-01,2019-01-26 02:14:59,1.8789068554687498,True,5,265.78
AAPL,Calls,2019-01-27,14:44:53,AAPL190201C00105000,105.0,USD,42.15,0.0,0.0,16,16,52.05,54.55,REGULAR,2019-02-01,2019-01-07 22:09:29,1.8544929150390623,True,5,265.78
AAPL,Calls,2019-01-27,14:44:53,AAPL190201C00115000,115.0,USD,42.25,3.6599998,9.484322,5,13,42.35,43.1,REGULAR,2019-02-01,2019-01-26 00:18:22,1.3720734521484375,True,5,265.78
AAPL,Calls,2019-01-27,14:44:53,AAPL190201C00120000,120.0,USD,37.65,5.0,15.313935,15,52,37.35,38.1,REGULAR,2019-02-01,2019-01-26 00:56:46,1.2148476757812499,True,5,265.78
AAPL,Calls,2019-01-27,14:44:53,AAPL190201C00125000,125.0,USD,32.7,3.1500015,10.6599045,15,52,32.35,33.15,REGULAR,2019-02-01,2019-01-26 01:07:50,1.08984830078125,True,5,265.78
AAPL,Calls,2019-01-27,14:44:53,AAPL190201C00130000,130.0,USD,28.08,5.6399994,25.133688,23,180,27.4,28.15,REGULAR,2019-02-01,2019-01-26 00:50:15,0.57812921875,True,5,265.78
AAPL,Calls,2019-01-27,14:44:53,AAPL190201C00134000,134.0,USD,18.92,0.0,0.0,2,24,23.45,24.2,REGULAR,2019-02-01,2019-01-24 22:44:58,0.59570716796875,True,5,265.78
AAPL,Calls,2019-01-27,14:44:53,AAPL190201C00135000,135.0,USD,23.08,5.1100006,28.436289,9,33,22.45,23.25,REGULAR,2019-02-01,2019-01-26 00:47:16,0.6015664843750002,True,5,265.78
AAPL,Calls,2019-01-27,14:44:53,AAPL190201C00136000,136.0,USD,17.1,0.0,0.0,2,21,21.5,22.25,REGULAR,2019-02-01,2019-01-24 22:45:24,0.5996133789062501,True,5,265.78
AAPL,Calls,2019-01-27,14:44:53,AAPL190201C00137000,137.0,USD,17.12,0.0,0.0,5,38,20.8,21.7,REGULAR,2019-02-01,2019-01-24 00:35:47,0.7666038964843751,True,5,265.78
AAPL,Calls,2019-01-27,14:44:53,AAPL190201C00138000,138.0,USD,15.16,0.0,0.0,1,45,19.8,20.05,REGULAR,2019-02-01,2019-01-24 22:44:50,0.585941640625,True,5,265.78
